repository,owner_repo,tags,zip_sha256
https://github.com/Bboyfarouk/skills,Bboyfarouk/skills,skill,1733e321a85dc9ea0367e6e18fb66a89795f33a04229e70ad92b850a6be121f5
https://github.com/Bennaco7539/skill-optimizer,Bennaco7539/skill-optimizer,skill,11222cce2edaa2eb1cdc0a7ad571a8f86130e8bf52284e30aacaa26c1572c441
https://github.com/Bertineburundi952/claude-code,Bertineburundi952/claude-code,claude,5f1ef5923d579ba90640015714ac869dd1838a07d0c4602d3f4075a9e7cec50d
https://github.com/Betinhocapoeira/mcp-bsl-lsp-bridge,Betinhocapoeira/mcp-bsl-lsp-bridge,mcp,a010058129ac6d10c69d3d423727cb9df5d4ab275555d586ae5980f2e6c549bc
https://github.com/Big-rangefinder838/open-webui-plugins,Big-rangefinder838/open-webui-plugins,plugin,169832cd739d411c056b7d4eb83a14e248186ceaab6a0cb13b0e7c0583b24cf4
https://github.com/Blairastragalar633/SkillStar,Blairastragalar633/SkillStar,skill,72e090e93192cb1c7aeb717375aa8de40c9eaccfeafee6a0077812375e1cedf4
https://github.com/Blaynelargish66/knx-skills,Blaynelargish66/knx-skills,skill,e74d4594d7ef82ef2023c97a2788d8662d9267cc2c4ddf82f39818ba1ce5a573
https://github.com/BobiTenta/website-design-systems-mcp,BobiTenta/website-design-systems-mcp,mcp,95737f40b19033a2865e60769b3f2935e443ee1c85ac6a5be0484ee3c16d8999
https://github.com/Borjani1577/claude-office-skills,Borjani1577/claude-office-skills,skill,claude,b680dd745d82212300032f11a6532374c1df0b01f3ef1e30c6ecb6c791550506
https://github.com/Businesseditorexternalorgan481/claude-peers-mcp,Businesseditorexternalorgan481/claude-peers-mcp,mcp,claude,40e8488b7a4558f4e9e93d7ffd715c9b28ad76a057ceb6efbab331ea9e004d55
https://github.com/CYRIKT/editorial-card-generator-skill,CYRIKT/editorial-card-generator-skill,skill,46451c34749560784c395d7bb945792f8a988ba5e834a8158519c18d216a1a43
https://github.com/Camille7585/polybridge-mcp,Camille7585/polybridge-mcp,mcp,7d089b27759d0673c4f0d9ecdaca8dda259f75733f99106dd14eda15d31026c0
https://github.com/Carliemajuscular804/ClaudePortable,Carliemajuscular804/ClaudePortable,claude,d8ad7334fdce5da3d92db583fd92d06da3d43c7bc10e2b13137c811ad92a10a8
https://github.com/Caseous-kerrcell366/claude,Caseous-kerrcell366/claude,claude,6dfe8ec64d5b42edff8bf3da90272ce624978cdf92fbcf8e9b08d3753b6c0c34
https://github.com/Cash4478/design-system-skill,Cash4478/design-system-skill,skill,25a1859f03a58f97c088e6cb02ca278c6f57d2beef58398ba155d7f931e06989
https://github.com/Cathyoffthehook238/Guild-to-Building-Skills-for-Claude,Cathyoffthehook238/Guild-to-Building-Skills-for-Claude,skill,claude,b4b7656f3eba8205af8add51eb41eda66c3d4960e2ac02c1468cbbb1c888093a
https://github.com/Cdplayerjumpingoffplace65/compass-mcp,Cdplayerjumpingoffplace65/compass-mcp,mcp,ba05ce0388e0f48bfa2e554b75890f7f4e73dad67ae0d7adb0763256d122b29c
